ssbid_5000m,pop_tot,pop_mal,pop_fem,pop_ave2,geom_wkt
20250006465000,287,153,134,41.2,"MULTIPOLYGON(((6.936410249234622 58.07049835076452,6.926305111351207 58.11496315823881,7.010339884302499 58.120291311167485,7.020342594215487 58.075817344418766,6.936410249234622 58.07049835076452)))"
20300006465000,982,494,488,35.2,"MULTIPOLYGON(((7.020342594215487 58.075817344418766,7.010339884302499 58.120291311167485,7.09440445050955 58.12556436457902,7.104304610180011 58.08108133058491,7.020342594215487 58.075817344418766)))"
20350006465000,82,42,40,42.9,"MULTIPOLYGON(((7.104304610180011 58.08108133058491,7.09440445050955 58.12556436457902,7.178498514661064 58.130782278193436,7.188296002968205 58.086290269134786,7.104304610180011 58.08108133058491)))"
20400006465000,119,66,53,43.5,"MULTIPOLYGON(((7.188296002968205 58.086290269134786,7.178498514661064 58.130782278193436,7.26262178077483 58.13594501212634,7.272316477753732 58.091444120334415,7.188296002968205 58.086290269134786)))"
20450006465000,441,239,202,41.2,"MULTIPOLYGON(((7.272316477753732 58.091444120334415,7.26262178077483 58.13594501212634,7.346773952203659 58.1410525268901,7.356365739049812 58.09654284484521,7.272316477753732 58.091444120334415)))"
20500006465000,94,57,37,42,"MULTIPOLYGON(((7.356365739049812 58.09654284484521,7.346773952203659 58.1410525268901,7.430954731641466 58.14610478339486,7.440443490715256 58.10158640372495,7.356365739049812 58.09654284484521)))"
20550006465000,89,46,43,41.7,"MULTIPOLYGON(((7.440443490715256 58.10158640372495,7.430954731641466 58.14610478339486,7.5151638211293 58.15110174294967,7.524549435960483 58.10657475842886,7.440443490715256 58.10158640372495)))"
20600006465000,257,137,120,39.8,"MULTIPOLYGON(((7.524549435960483 58.10657475842886,7.5151638211293 58.15110174294967,7.599400922061467 58.15604336726349,7.608683277353574 58.11150787081071,7.524549435960483 58.10657475842886)))"
20650006465000,65,34,31,35.2,"MULTIPOLYGON(((7.608683277353574 58.11150787081071,7.599400922061467 58.15604336726349,7.683665735191674 58.160929618446296,7.692844716826381 58.116385703123804,7.608683277353574 58.11150787081071)))"
20700006465000,50,30,20,44.1,"MULTIPOLYGON(((7.692844716826381 58.116385703123804,7.683665735191674 58.160929618446296,7.767957960639182 58.165760459010095,7.777033455680666 58.121208218022076,7.692844716826381 58.116385703123804)))"
20750006465000,2830,1391,1439,40.7,"MULTIPOLYGON(((7.777033455680666 58.121208218022076,7.767957960639182 58.165760459010095,7.852277297895037 58.17053585186994,7.861249194594276 58.12597537856108,7.777033455680666 58.121208218022076)))"
